iter	Passed	Remaining
0	131	12982
1	213	104662	240	7779
3	267	6415
4	294	5597
5	321	5032
66	355	47177	327	3764
8	354	3587
99	435	392110	408	3304
11	438	3212
12	467	3130
13	495	3040
14	522	2961
15	546	2867
16	576	2814
17	601	2739
18	672	2866
19	701	2805
20	727	2735
21	752	2666
22	734	2458
23	766	2425
24	792	2378
25	820	2335
26	849	2296
27	881	2267
28	907	2222
29	938	2189
30	970	2159
31	998	2121
32	1027	2085
33	1052	2042
34	1078	2003
35	1107	1968
36	1139	1940
37	1185	1934
38	1222	1912
39	1250	1876
40	1284	1848
41	1315	1816
42	1343	1781
43	1376	1751
44	1406	1718
45	1432	1682
46	1464	1651
47	1499	1624
48	1528	1591
49	1558	1558
50	1587	1525
51	1618	1493
52	1649	1462
53	1675	1427
54	1705	1395
55	1731	1360
56	1764	1330
57	1792	1298
58	1824	1267
59	1854	1236
60	1881	1202
61	1910	1170
62	1939	1139
63	1967	1106
64	1995	1074
65	2022	1041
66	2048	1009
67	2077	977
68	2106	946
69	2133	914
70	2161	882
71	2189	851
72	2217	820
73	2243	788
74	2271	757
75	2299	726
76	2324	694
77	2352	663
78	2379	632
79	2405	601
80	2432	570
81	2468	541
82	2497	511
83	2526	481
84	2555	450
85	2586	421
86	2613	390
87	2644	360
88	2674	330
89	2704	300
90	2731	270
91	2756	239
92	2782	209
93	2807	179
94	2826	148
95	2847	118
96	2859	88
97	2871	58
98	2881	29
99	2891	0

